reqalts , what about spanish food
request , whats the address
inform , im looking for an expensive restaurant and it should serve unusual food
inform , moderate
thankyou , thank you good bye
thankyou , thank you good bye
inform , i dont know
inform , im looking for an expensive restaurant in the south part of town
reqalts , how about chinese
inform , moderate
request , can i have the phone number
request , may i have the address
inform , im looking for a cheap restaurant in the south part of town
inform , seafood
inform , food
request , where is it located
request , what is the address and phone number
inform , cheap restaurant that serves vegetarian food
inform , id like a cheap italian restaurant
